#    5   57  Pure-hydrogen grid                             Fri Aug 21 10:44:45 2020
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      Ks     Y      J      H      K      W1     W2     W3     W4    S3.6   S4.5   S5.8   S8.0    u      g      r      i      z      g      r      i      z      y      G     G_BP   G_RP   FUV    NUV      Age
130000. 7.0  0.621 -1.855 -7.716  4.153  5.504  5.862  6.023  6.231  6.662  6.788  6.890  6.544  6.641  6.759  6.868  6.940  6.965  6.971  6.944  6.946  6.962  6.974  6.977  4.997  5.523  6.099  6.499  6.859  5.594  6.104  6.510  6.806  7.023  5.787  5.508  6.145  3.385  4.115 0.000E+00
140000. 7.0  0.653 -2.231 -7.964  4.020  5.374  5.734  5.896  6.105  6.538  6.665  6.768  6.419  6.517  6.636  6.745  6.818  6.844  6.854  6.832  6.825  6.841  6.854  6.858  4.863  5.393  5.971  6.373  6.733  5.465  5.977  6.384  6.681  6.898  5.658  5.378  6.018  3.238  3.975 0.000E+00
150000. 7.0  0.685 -2.582 -8.195  3.894  5.250  5.612  5.776  5.986  6.420  6.548  6.652  6.301  6.400  6.519  6.629  6.703  6.730  6.744  6.726  6.710  6.727  6.741  6.746  4.737  5.271  5.851  6.253  6.614  5.343  5.856  6.264  6.562  6.779  5.536  5.255  5.899  3.100  3.843 0.000E+00
  2500. 7.5  0.317 17.285  0.204 20.860 19.144 17.081 16.329 16.262 16.707 17.149 17.806 16.790 16.641 17.060 17.765 15.383 14.937 14.315 13.756 15.191 14.943 14.859 14.623 21.779 18.167 16.458 16.649 16.601 17.856 16.462 16.663 16.554 16.784 16.812 17.325 16.160 51.684 30.437 9.379E+09
  2750. 7.5  0.317 16.870  0.013 20.411 18.820 16.857 16.042 15.683 16.046 16.531 17.017 16.122 15.987 16.456 16.978 15.017 14.628 14.046 13.540 14.854 14.636 14.540 14.321 21.309 17.892 16.246 16.132 16.050 17.597 16.240 16.137 16.005 16.222 16.457 17.099 15.712 50.225 29.669 8.470E+09
  3000. 7.5  0.318 16.492 -0.152 19.964 18.502 16.644 15.797 15.238 15.449 15.951 16.327 15.511 15.398 15.884 16.291 14.678 14.343 13.792 13.329 14.540 14.351 14.248 14.042 20.848 17.624 16.056 15.740 15.603 17.346 16.045 15.738 15.570 15.726 16.152 16.886 15.347 48.723 28.899 7.689E+09
  3250. 7.5  0.318 16.143 -0.284 19.507 18.174 16.427 15.580 14.911 14.899 15.365 15.631 14.959 14.854 15.307 15.598 14.324 14.040 13.514 13.101 14.212 14.050 13.937 13.742 20.384 17.348 15.871 15.447 15.256 17.087 15.858 15.441 15.243 15.310 15.891 16.670 15.058 47.143 28.089 6.964E+09
  3500. 7.5  0.318 15.820 -0.379 19.025 17.832 16.199 15.379 14.670 14.400 14.784 14.982 14.495 14.359 14.735 14.951 13.970 13.733 13.233 12.873 13.880 13.743 13.627 13.439 19.898 17.059 15.679 15.220 14.994 16.815 15.667 15.211 15.001 14.984 15.662 16.443 14.828 45.361 27.209 6.186E+09
  3750. 7.5  0.319 15.519 -0.440 18.521 17.473 15.959 15.181 14.475 13.989 14.224 14.347 14.156 13.948 14.184 14.318 13.602 13.401 12.945 12.662 13.531 13.411 13.295 13.122 19.391 16.754 15.478 15.025 14.790 16.529 15.466 15.016 14.809 14.744 15.450 16.201 14.630 43.228 26.275 5.285E+09
  4000. 7.5  0.319 15.236 -0.469 17.982 17.090 15.705 14.976 14.294 13.680 13.715 13.749 13.917 13.637 13.684 13.719 13.228 13.051 12.679 12.510 13.174 13.061 12.952 12.807 18.848 16.430 15.264 14.837 14.612 16.225 15.253 14.829 14.634 14.552 15.236 15.942 14.444 40.650 25.269 4.499E+09
  4250. 7.5  0.320 14.971 -0.455 17.387 16.673 15.425 14.751 14.106 13.457 13.299 13.278 13.728 13.413 13.274 13.247 12.908 12.753 12.494 12.420 12.866 12.762 12.669 12.565 18.247 16.075 15.027 14.638 14.434 15.892 15.017 14.630 14.455 14.376 15.004 15.652 14.248 36.582 24.081 3.847E+09
  4500. 7.5  0.321 14.719 -0.400 16.757 16.226 15.119 14.503 13.901 13.281 12.997 12.947 13.551 13.237 12.978 12.916 12.670 12.544 12.383 12.347 12.637 12.551 12.483 12.420 17.609 15.691 14.764 14.419 14.244 15.530 14.756 14.412 14.262 14.195 14.747 15.331 14.034 32.569 22.972 3.311E+09
  4750. 7.5  0.323 14.478 -0.330 16.150 15.787 14.808 14.248 13.692 13.122 12.786 12.699 13.377 13.079 12.770 12.668 12.492 12.401 12.302 12.283 12.470 12.406 12.361 12.324 16.996 15.308 14.495 14.196 14.051 15.167 14.488 14.190 14.065 14.013 14.481 15.003 13.814 29.659 21.963 2.814E+09
  5000. 7.5  0.326 14.245 -0.260 15.569 15.367 14.505 13.997 13.486 12.969 12.628 12.528 13.206 12.927 12.613 12.497 12.366 12.300 12.232 12.221 12.350 12.303 12.272 12.246 16.409 14.939 14.231 13.975 13.860 14.817 14.225 13.970 13.870 13.834 14.219 14.681 13.598 28.352 20.986 2.223E+09
  5250. 7.5  0.330 14.020 -0.203 15.022 14.980 14.223 13.762 13.293 12.826 12.499 12.406 13.046 12.786 12.484 12.375 12.270 12.218 12.169 12.163 12.257 12.220 12.197 12.178 15.856 14.597 13.985 13.769 13.682 14.491 13.980 13.765 13.688 13.665 13.970 14.378 13.396 27.287 20.125 1.786E+09
  5500. 7.5  0.333 13.808 -0.163 14.522 14.635 13.971 13.552 13.120 12.698 12.389 12.307 12.902 12.658 12.373 12.277 12.190 12.149 12.115 12.114 12.180 12.150 12.133 12.120 15.351 14.292 13.765 13.584 13.521 14.201 13.761 13.581 13.524 13.515 13.745 14.103 13.214 26.366 19.295 1.564E+09
  6000. 7.5  0.338 13.414 -0.129 13.712 14.066 13.543 13.196 12.827 12.479 12.202 12.149 12.659 12.441 12.184 12.119 12.064 12.041 12.032 12.031 12.058 12.041 12.034 12.031 14.540 13.780 13.392 13.272 13.251 13.712 13.389 13.270 13.249 13.260 13.360 13.635 12.907 24.943 17.660 1.270E+09
  6500. 7.5  0.341 13.057 -0.130 13.124 13.612 13.187 12.897 12.583 12.298 12.053 12.023 12.456 12.262 12.035 11.995 11.966 11.957 11.962 11.950 11.962 11.956 11.958 11.960 13.954 13.363 13.080 13.010 13.025 13.310 13.078 13.010 13.018 13.047 13.036 13.248 12.650 23.529 16.315 1.048E+09
  7000. 7.5  0.343 12.727 -0.148 12.671 13.232 12.876 12.633 12.364 12.139 11.930 11.918 12.274 12.105 11.910 11.891 11.879 11.880 11.886 11.871 11.878 11.879 11.884 11.888 13.503 13.008 12.805 12.777 12.823 12.966 12.804 12.777 12.811 12.857 12.751 12.915 12.420 22.104 15.331 8.766E+08
